Tiempo en segundos: 3.072302

Posiciones finales de los cuerpos:
Cuerpo 315: px=-0.773853 py=-0.382132 pz=-0.999967
Cuerpo 316: px=-0.913231 py=-0.453769 pz=-0.959421
Cuerpo 317: px=-1.051034 py=-0.524313 pz=-0.845372
Cuerpo 318: px=-1.172982 py=-0.586595 pz=-0.666557
Cuerpo 319: px=-1.265127 py=-0.633603 pz=-0.436676
Cuerpo 320: px=-1.317275 py=-0.660220 pz=-0.173340
Cuerpo 321: px=-1.091972 py=-0.998709 pz=0.000000
Cuerpo 322: px=-1.074293 py=-0.982391 pz=0.274125
Cuerpo 323: px=-1.018607 py=-0.930691 pz=0.527250
Cuerpo 324: px=-0.932215 py=-0.850337 pz=0.739980
Cuerpo 325: px=-0.825308 py=-0.750691 pz=0.896019
Cuerpo 326: px=-0.709961 py=-0.642833 pz=0.983412
Cuerpo 327: px=-0.597173 py=-0.536817 pz=0.995464
Cuerpo 328: px=-0.493768 py=-0.438838 pz=0.931251
Cuerpo 329: px=-0.403121 py=-0.352004 pz=0.795693
Cuerpo 330: px=-0.328521 py=-0.279620 pz=0.599176
Cuerpo 331: px=-0.275195 py=-0.227161 pz=0.356754
Cuerpo 332: px=-0.249841 py=-0.201665 pz=0.087001
Cuerpo 333: px=-0.256907 py=-0.207862 pz=-0.189418
Cuerpo 334: px=-0.294997 py=-0.244548 pz=-0.451325
Cuerpo 335: px=-0.357972 py=-0.305557 pz=-0.678655
Cuerpo 336: px=-0.439366 py=-0.384094 pz=-0.853992
Cuerpo 337: px=-0.534955 py=-0.475559 pz=-0.963903
Cuerpo 338: px=-0.641946 py=-0.577020 pz=-0.999967
Cuerpo 339: px=-0.756224 py=-0.684625 pz=-0.959421
Cuerpo 340: px=-0.869302 py=-0.790608 pz=-0.845372
Cuerpo 341: px=-0.969418 py=-0.884187 pz=-0.666557
Cuerpo 342: px=-1.045073 py=-0.954818 pz=-0.436676
Cuerpo 343: px=-1.087870 py=-0.994797 pz=-0.173340
Cuerpo 344: px=-0.778961 py=-1.259373 pz=0.000000
Cuerpo 345: px=-0.766370 py=-1.238795 pz=0.274125
Cuerpo 346: px=-0.726948 py=-1.173685 pz=0.527250
Cuerpo 347: px=-0.665883 py=-1.072528 pz=0.739980
Cuerpo 348: px=-0.590407 py=-0.947098 pz=0.896019
Cuerpo 349: px=-0.509114 py=-0.811338 pz=0.983412
Cuerpo 350: px=-0.429850 py=-0.677919 pz=0.995464
Cuerpo 351: px=-0.357512 py=-0.554648 pz=0.931251
Cuerpo 352: px=-0.294515 py=-0.445457 pz=0.795693
Cuerpo 353: px=-0.243080 py=-0.354475 pz=0.599176
Cuerpo 354: px=-0.206629 py=-0.288549 pz=0.356754
Cuerpo 355: px=-0.189569 py=-0.256522 pz=0.087001
Cuerpo 356: px=-0.194821 py=-0.264369 pz=-0.189418
Cuerpo 357: px=-0.221348 py=-0.310573 pz=-0.451325
Cuerpo 358: px=-0.264950 py=-0.387347 pz=-0.678655
Cuerpo 359: px=-0.321356 py=-0.486153 pz=-0.853992
Cuerpo 360: px=-0.387864 py=-0.601230 pz=-0.963903
Cuerpo 361: px=-0.462652 py=-0.728909 pz=-0.999967
Cuerpo 362: px=-0.542811 py=-0.864306 pz=-0.959421
Cuerpo 363: px=-0.622307 py=-0.997651 pz=-0.845372
Cuerpo 364: px=-0.692775 py=-1.115375 pz=-0.666557
Cuerpo 365: px=-0.746043 py=-1.204217 pz=-0.436676
Cuerpo 366: px=-0.776137 py=-1.254481 pz=-0.173340
Cuerpo 367: px=-0.406826 py=-1.425385 pz=0.000000
Cuerpo 368: px=-0.400260 py=-1.402043 pz=0.274125
Cuerpo 369: px=-0.380145 py=-1.328447 pz=0.527250
Cuerpo 370: px=-0.349148 py=-1.214153 pz=0.739980
Cuerpo 371: px=-0.311010 py=-1.072465 pz=0.896019
Cuerpo 372: px=-0.270193 py=-0.919130 pz=0.983412
Cuerpo 373: px=-0.230805 py=-0.768450 pz=0.995464
Cuerpo 374: px=-0.195464 py=-0.629274 pz=0.931251
Cuerpo 375: px=-0.165446 py=-0.506051 pz=0.795693
Cuerpo 376: px=-0.141695 py=-0.403413 pz=0.599176
Cuerpo 377: px=-0.125463 py=-0.329032 pz=0.356754
Cuerpo 378: px=-0.118380 py=-0.292905 pz=0.087001
Cuerpo 379: px=-0.121519 py=-0.301839 pz=-0.189418
Cuerpo 380: px=-0.134262 py=-0.354126 pz=-0.451325
Cuerpo 381: px=-0.154744 py=-0.440917 pz=-0.678655
Cuerpo 382: px=-0.181330 py=-0.552553 pz=-0.853992
Cuerpo 383: px=-0.213154 py=-0.682554 pz=-0.963903
Cuerpo 384: px=-0.249558 py=-0.826777 pz=-0.999967
Cuerpo 385: px=-0.289101 py=-0.979670 pz=-0.959421
Cuerpo 386: px=-0.328654 py=-1.130190 pz=-0.845372
Cuerpo 387: px=-0.363876 py=-1.263044 pz=-0.666557
Cuerpo 388: px=-0.390533 py=-1.363261 pz=-0.436676
Cuerpo 389: px=-0.405528 py=-1.419914 pz=-0.173340
Cuerpo 390: px=-0.003328 py=-1.484465 pz=0.000000
Cuerpo 391: px=-0.003265 py=-1.460034 pz=0.274125
Cuerpo 392: px=-0.004027 py=-1.383464 pz=0.527250
Cuerpo 393: px=-0.005561 py=-1.264680 pz=0.739980
Cuerpo 394: px=-0.007841 py=-1.117501 pz=0.896019
Cuerpo 395: px=-0.010878 py=-0.958270 pz=0.983412
Cuerpo 396: px=-0.014762 py=-0.801841 pz=0.995464
Cuerpo 397: px=-0.019657 py=-0.657434 pz=0.931251
Cuerpo 398: px=-0.025607 py=-0.529673 pz=0.795693
Cuerpo 399: px=-0.032154 py=-0.423297 pz=0.599176
Cuerpo 400: px=-0.038137 py=-0.346186 pz=0.356754
Cuerpo 401: px=-0.042100 py=-0.308735 pz=0.087001
Cuerpo 402: px=-0.043045 py=-0.318121 pz=-0.189418
Cuerpo 403: px=-0.040797 py=-0.372594 pz=-0.451325
Cuerpo 404: px=-0.036062 py=-0.462889 pz=-0.678655
Cuerpo 405: px=-0.030109 py=-0.578938 pz=-0.853992
Cuerpo 406: px=-0.024102 py=-0.714033 pz=-0.963903
Cuerpo 407: px=-0.018695 py=-0.863854 pz=-0.999967
Cuerpo 408: px=-0.014079 py=-1.022587 pz=-0.959421
Cuerpo 409: px=-0.010269 py=-1.178747 pz=-0.845372
Cuerpo 410: px=-0.007265 py=-1.316491 pz=-0.666557
Cuerpo 411: px=-0.005074 py=-1.420324 pz=-0.436676
Cuerpo 412: px=-0.003696 py=-1.478911 pz=-0.173340
Cuerpo 413: px=0.401764 py=-1.432287 pz=0.000000
Cuerpo 414: px=0.395342 py=-1.408375 pz=0.274125
Cuerpo 415: px=0.373719 py=-1.334470 pz=0.527250
Cuerpo 416: px=0.339669 py=-1.220134 pz=0.739980
Cuerpo 417: px=0.296966 py=-1.078653 pz=0.896019
Cuerpo 418: px=0.250013 py=-0.925730 pz=0.983412
Cuerpo 419: px=0.202683 py=-0.775653 pz=0.995464
Cuerpo 420: px=0.157216 py=-0.637285 pz=0.931251
Cuerpo 421: px=0.114783 py=-0.515043 pz=0.795693
Cuerpo 422: px=0.077321 py=-0.413313 pz=0.599176
Cuerpo 423: px=0.048543 py=-0.339524 pz=0.356754
Cuerpo 424: px=0.033117 py=-0.303697 pz=0.087001
